TagId,SubTagId,TagDescription,TagName,Required,TagValues,DependencyWithValues,TagPropertyType,MapProperty,RuleName,DataLength,StartPosition,EndPosition
1500,0,Sender Supplied Information,SenderSuppliedInformation,Y,,,Class,SenderReceiverInfo,,12,,
1500,1,Format Version,FormatVersion,Y,,,string,FormatVersion,,2,1,2
1500,2,User Request Correlation,UserRequestCorrelation,Y,,,string,UserRequestCorrelation,,8,3,10
1500,3,Production Code,ProductionCode,Y,,,string,ProductionCode,,1,11,11
1500,4,Message DuplicationCode,MessageDuplicationCode,Y,,,string,MessageDuplicationCode,,1,12,12
1510,0,Type/Subtype,TypeSubType,Y,,,Class,TypeSubTypeInfo,,4,,
1510,1,Type,MessageType,Y,,,string,MessageType,,2,1,2
1510,2,Subtype,MessageTypeSubType,Y,,,string,MessageTypeSubType,,2,3,4
1520,0,Input Message Accountability Data (IMAD),InputMessageAccountabilityData,Y,,,Class,AccountabilityData,,22,,
1520,1,Cycle Date,CycleDate,Y,,,string,InputCycleDate_CCYYMMDD,,8,1,8
1520,2,Input Source,InputSource,Y,,,string,InputSource,,8,9,16
1520,3,Input Sequence Number,InputSequenceNumber,Y,,,string,InputSequenceNumber,,6,17,22
2000,1,Amount (up to a penny less than $10 billion),Amount,Y,,,decimal,AmountData,AmountRule,12,,
3100,0,Sender DI,SenderDI,Y,,,Class,SenderReceiverDI,,27,,
3100,1,Sender ABA Number,SenderABANumber,Y,,,string,SenderReceiverABA,,9,1,9
3100,2,Sender Short Name,SenderShortName,Y,,,string,SenderReceiverShortName,,18,10,27
3400,0,Receiver DI,ReceiverDI,Y,,,Class,SenderReceiverDI,,,,
3400,1,Receiver ABA Number,ReceiverABANumber,Y,,,string,SenderReceiverABA,,9,1,9
3400,2,Receiver Short Name,ReceiverShortName,Y,,,string,SenderReceiverShortName,,18,10,27
3600,0,Business Function Code,BusinessFunctionCode,Y,BTR- CKS- CTP- CTR- DEP- DRB- DRC- DRW- FFR- FFS- SVC,,string,BusinessFunctionCode,,3,,
3320,0,Sender Reference,SenderReference,N,,,string,SenderReference,,16,,
3500,0,Previous Message Identifier,PreviousMessageId,C,,{1510} XX02- XX08 {3600} BTR- CTR- CTP,string,PreviousMessageId,,22,,
3610,0,Local Instrument,LocalInstrument,N,ANSI- COVS- GXML- IXML- NARR- PROP- RMTS- RRMT- S820- SWIF- UEDI,{3600} CTP,Class,LocalInstrument,,,,
3610,1,Loca lInstrumen tCode,LocalInstrumentCode,N,,,string,LocalInstrumentCode,,4,1,4
3610,2,Proprietary Code,ProprietaryCode,N,,,string,ProprietaryCode,,35,5,39
3620,0,Payment Notification,Paymentnotification,N,,{3600} CTP,Class,Paymentnotification,,,,
3620,1,Payment Notification Indicator ,PaymentNotificationIndicator,N,,,string,PaymentNotificationIndicator,,1,1,
3620,2,Contact Notification Electronic Address,ContactNotification,N,,,string,ContactNotification,SplitStarSeparator,2048,,
3620,3,Contact Name,ContactName,N,,,string,ContactName,SplitStarSeparator,140,,
3620,4,Contact Phone Number,ContactPhoneNumber,N,,,string,ContactPhoneNumber,SplitStarSeparator,35,,
3620,5,Contact Mobile Number,ContactFaxNumber,N,,,string,ContactFaxNumber,SplitStarSeparator,35,,
